Anton, Teodor
Smith, Axel
Dvoirys, Semen I.
Pozo Vera, Sandro
Gutman, Lev
Mestrovic, Zvonimir
Mateo, Ramon
Poley, Vladimir
Yankelevich, Lev
Bykhovsky, Avigdor
Ippolito, Dean
Gligoric, Svetozar
Glienke, Manfred, Dr.
Reshevsky, Samuel
Matamoros Franco, Carlos S.
Mikhalevski, Victor
Kuzmin, Gennadiy
Gashimov, Vugar
Fedoseev,Vl3
Borik, Otto
Conquest, Stuart C
Ftacnik, Lubomir
Khanukov, Boris
Spangenberg, Hugo
Cramling, Pia
Eriksson, Johan
Baburin, Alexander
Tate, Emory
Suetin, Alexey S
Pomes Marcet, Joan
Garcia Ilundain, David
Giri, Anish
Beliavsky, Alexander G
Murey, Jacob
Marzolo, Cyril
Steinbacher, Matthias, Dr.
Galiana Salom, Juan Ramon
Srihari L R
Sevillano, Enrico
Kholmov, Ratmir D
Polgar, Judit
Etchegaray, Patrice
Palac, Mladen
Thomas, George Alan
Kukk, Sander
Wade, Robert G
McKay, Roderick M
Azmaiparashvili, Zurab
Massoni, Michael
Kazhgaleyev, Murtas
Cherniaev, Alexander
Aroshidze, Levan
Darga, Klaus
Zhao, Zong-Yuan
Dautov, Rustem
Pasti, Aron
Nimzowitsch, Aron
Colovic, Aleksandar
Blatny, Pavel
Aloma Vidal, Robert
Zarnicki, Pablo
Kazakov, Mikhail
Nordahl, Helge
Saemisch, Friedrich
Brunner, Nicolas
Horvath, Adam1
Colls Gelaberto, Emili
Bisguier, Arthur B
Laubsch, Bernd
Rosito, Jorge
Bacrot, Etienne
Morchiashvili, Bachana
Eingorn, Vereslav S
Likavsky, Tomas
Hansen, Torbjorn Ringdal
Socko, Bartosz
Tseitlin, M.
Sarto Ramos, Angel
Naiditsch, Yuliya
Ivanchuk, Vasyl
Rukavina, Josip
Straub, Natalia
Heimann, Andreas
Danin, Alexandre
Stachowiak, Kamil
Nikcevic, Nebojsa
Ranieri, Fabrizio
Khenkin, Igor
Nijboer, Friso
Ovsejevitsch, Sergei
Van den Bosch, Johannes
Kanep, Meelis
Granados Gomez, Manuel
Lainburg, Viktor
Schuh, Dirk
Valenzuela Gomez, Fernando
Carlsen, Magnus
Dominguez Pons, Eric
Motylev, Alexander
Rivas Pastor, Manuel
Drabke, Lorenz Maximilian
Praggnanandhaa R
Movsziszian, Karen
Fuller, Maxwell L
Bareev, Evgeny
Kasparov,G
Daulyte-Cornette, Deimante
Fischer, R.
Trifunovic, Petar
Gajewski,G
Burmakin, Vladimir
Milosevic, Milos
Purdy, Cecil J S
Bruno, Fabio
Rodshtein, Maxim
Yurtaev, Leonid
Walther, Edgar
Amin,B
Blagojevic, Dragisa
Sloth, Jorn
Tartakower, Savielly
Ayas Fernandez, Antonio
Klinova, Masha
Dominguez Perez, Leinier
Damljanovic, Branko
Swati Ghate
Szmetan, Ricardo
Guennigmann, Manuel
Dinstuhl, Volkmar, Dr.
Wirthensohn, Heinz
Garcia Martinez, Silvino
Suba, Mihai
Edouard, Romain
Plat, Vojtech
Sundararajan, Kidambi
Malaniuk, Vladimir P
Ascic, Pero
Schroeder,Ja
Ilincic, Zlatko
Ubilava, Elizbar
Mista, Aleksander
Mochalov, Evgeny V
Mieses, Jacques
Zumsande, Martin
Wei, Yi
Meier, Georg
Cuartas, Carlos
Knaak, Rainer
Sitnikov, Dmitrij
Bauer, Christian
Oll, Lembit
Gonzalez Rodriguez, Jorge A.
Herbrechtsmeier, Christof
Tissir, Mohamed
Barski, Radoslaw
Geranichev, Mikhail
Gofshtein, Leonid
Fiebig, Thomas
Martorelli,A
Szekely, Peter
Hartung-Nielsen, Jens
Chigaev, Maksim
Euwe, Max
Piket, Jeroen
Suttles, Duncan
Khalifman, Alexander
Fluvia Poyatos, Jordi
Dautov, R.
Golichenko, Ilija
Santo-Roman, Marc
Akesson,R
Mastrovasilis, Athanasios
Casper, Thomas
Vaganian, Rafael A
Radulov, Ivan
Pelikian, Jefferson
Mirzoev, Azer
Wang, Yue
Garza Marco, Sergio
Miles, Anthony J
Stefansson, Hannes
Hjartarson, Johann
Vuckovic, Bojan
Christiansen, Johan-Sebastian
Sosonko, Gennadi
Bai, Jinshi
Herrera Reyes, Jose Antonio
Beshukov, Sergei
Eliseev, Urii
Vasquez Schroeder, Rodrigo
Rogozenco, Dorian
Ragger, Markus
Tomazini, Zan
Romero Holmes, Alfonso
Abdusattorov, Nodirbek
Gdanski, Jacek
Berndt, Stephan
Rustemov, Alexander
Areshchenko, Alexander
Pelletier, Yannick
Le, Quang Liem
Braun, Vitali
Marin, Mihail
Espig, Lutz
Mikhaletz, Lubomir
Hauchard, Arnaud
Asensio Linan, Teodoro
Tarjan, James
Bischoff,K
Stevic, Hrvoje
Ekstroem, Roland
Fedoseev, Vladimir
Leiro Giralt, Daniel
Perelshteyn, Eugene
Wendt, Jan-Dietrich
Mohammad Fahad, Rahman
Boensch, Uwe
Mamedyarov, Shakhriyar
Esipenko, Andrey
Blom, Vincent
Smirin, Ilia
Garcia Palermo, Carlos Horacio
Korchnoi, Viktor
Speelman, Jon S
Kovacevic, V.
Farago, Ivan
Backwinkel, Paul
Huschenbeth, Niclas
Bartel, Michal
Grandelius, Nils
Jakovenko, Dmitry
Fish, Gennadij
Almasi, Zoltan
Steinitz, Wilhelm
Coimbra, Margarida
Dubov,Danii
Bagaturov, Giorgi
Esen, Baris
Stabolewski, Andreas
Monroy, Charles
Milov, Vadim
Rotstein, Arkadij
Laznicka, Viktor
Lindgren, Philip
Lane, Gary W
Bluvshtein, Mark
Comas Fabrego, Lluis
Munoz Pantoja, Miguel Angel
Smeets, Jan
Leitao, Rafael
Grafl, Florian, Dr.
Mikhalchishin, Adrian
Pataki, Gyozo
So, Wesley
Efimenko, Zahar
Hartston, William R
Karlsson,L
Rekhlova, Tatiana
Maahs, Erich
Muller, K.
Berg,E
Thurlow, Kevin J
Wittur, Helge
Kramnik, Vladimir
Dronavalli, Harika
Roeder, Matthias
Tal, Mikhail
Chuchelov, Vladimir
Hansen, Sune Berg
Landa, Konstantin
Krivonosov, Oleg
Gufeld, Eduard
Muse, Mladen
Macieja, Bartlomiej
Van Scheltinga, Theo
Cebalo, Miso
Almagro Llamas, Pablo
Gelfand, Boris
Kotronias, Vasilios
Enders, Peter
Shipman, Walter
Ivkov, Borislav
Luther, Thomas
Anderssen, Adolf
Portisch, Lajos
Lammers, Markus
Bosboom, Manuel
Schmidt
Aravindh, Chithambaram VR.
Kristensen, B.
Norwood, David R
Feller, Sebastien
Lehner, Oliver
Steffens, Olaf
Holst, Allan
Lenderman, Aleksandr
Karpov, Anatoly
Mitkov,N
Arnason, J.
Lombardy, William J
